image_name,xmin,xmax,ymin,ymax,class_id
10 FOTO 201807 MEN_100_2.jpg,65,78,68,91,0
10 FOTO 201807 MEN_100_2.jpg,86,100,67,92,0
10 FOTO 201807 MEN_100_2.jpg,108,122,68,95,0
10 FOTO 201807 MEN_100_2.jpg,129,144,67,94,0
10 FOTO 201807 MEN_100_2.jpg,151,163,67,94,0
10 FOTO 201807 MEN_100_2.jpg,175,188,65,94,0
10 FOTO 201807 MEN_100_2.jpg,197,210,67,93,0
10 FOTO 201807 MEN_100_2.jpg,216,230,61,98,0
10 FOTO 201807 MEN_100_2.jpg,65,233,61,102,7
10 FOTO 201807 MEN_100_2.jpg,96,197,15,34,8
10 FOTO 201807 MEN_100_2.jpg,96,109,15,34,0
10 FOTO 201807 MEN_100_2.jpg,109,121,15,35,0
10 FOTO 201807 MEN_100_2.jpg,121,134,16,33,0
10 FOTO 201807 MEN_100_2.jpg,133,145,15,33,0
10 FOTO 201807 MEN_100_2.jpg,146,161,16,35,0
10 FOTO 201807 MEN_100_2.jpg,160,170,16,33,0
10 FOTO 201807 MEN_100_2.jpg,171,185,15,35,0
10 FOTO 201807 MEN_100_2.jpg,186,197,17,34,0
10 FOTO 201807 MEN_100_2.jpg,5,296,5,296,9
10 FOTO 201807 MEN_102_2.jpg,94,188,19,37,8
10 FOTO 201807 MEN_102_2.jpg,70,222,67,112,7
10 FOTO 201807 MEN_102_2.jpg,93,107,20,38,0
10 FOTO 201807 MEN_102_2.jpg,106,117,20,36,0
10 FOTO 201807 MEN_102_2.jpg,118,129,19,39,0
10 FOTO 201807 MEN_102_2.jpg,130,141,19,37,0
10 FOTO 201807 MEN_102_2.jpg,141,150,21,37,0
10 FOTO 201807 MEN_102_2.jpg,152,163,19,36,0
10 FOTO 201807 MEN_102_2.jpg,164,177,20,36,0
10 FOTO 201807 MEN_102_2.jpg,176,188,20,37,0
10 FOTO 201807 MEN_102_2.jpg,70,83,72,104,0
10 FOTO 201807 MEN_102_2.jpg,90,103,73,105,0
10 FOTO 201807 MEN_102_2.jpg,111,123,73,103,0
10 FOTO 201807 MEN_102_2.jpg,130,143,72,106,0
10 FOTO 201807 MEN_102_2.jpg,151,164,72,105,0
10 FOTO 201807 MEN_102_2.jpg,172,183,72,105,0
10 FOTO 201807 MEN_102_2.jpg,194,207,74,105,0
10 FOTO 201807 MEN_102_2.jpg,212,223,69,113,0
10 FOTO 201807 MEN_102_2.jpg,5,296,5,296,9
10 FOTO 201807 MEN_1060_1.jpg,105,185,47,62,8
10 FOTO 201807 MEN_1060_1.jpg,75,223,87,124,7
10 FOTO 201807 MEN_1060_1.jpg,103,114,50,65,0
10 FOTO 201807 MEN_1060_1.jpg,114,125,50,63,0
10 FOTO 201807 MEN_1060_1.jpg,135,143,48,65,0
10 FOTO 201807 MEN_1060_1.jpg,145,153,47,63,0
10 FOTO 201807 MEN_1060_1.jpg,155,165,48,64,0
10 FOTO 201807 MEN_1060_1.jpg,166,172,48,63,0
10 FOTO 201807 MEN_1060_1.jpg,176,183,48,61,0
10 FOTO 201807 MEN_1060_1.jpg,77,90,89,118,0
10 FOTO 201807 MEN_1060_1.jpg,101,116,88,116,0
10 FOTO 201807 MEN_1060_1.jpg,125,138,94,119,0
10 FOTO 201807 MEN_1060_1.jpg,146,159,91,116,0
10 FOTO 201807 MEN_1060_1.jpg,168,181,92,115,0
10 FOTO 201807 MEN_1060_1.jpg,189,200,91,117,0
10 FOTO 201807 MEN_1060_1.jpg,206,218,89,117,0
10 FOTO 201807 MEN_1060_1.jpg,5,296,5,296,9
14 FOTO 201810 MEN_342_1.jpg,72,213,60,97,7
14 FOTO 201810 MEN_342_1.jpg,103,170,96,114,8
14 FOTO 201810 MEN_342_1.jpg,78,94,63,92,0
14 FOTO 201810 MEN_342_1.jpg,108,122,63,92,0
14 FOTO 201810 MEN_342_1.jpg,135,151,64,93,0
14 FOTO 201810 MEN_342_1.jpg,163,179,63,93,0
14 FOTO 201810 MEN_342_1.jpg,190,206,64,95,0
14 FOTO 201810 MEN_342_1.jpg,103,109,97,110,0
14 FOTO 201810 MEN_342_1.jpg,110,118,96,109,0
14 FOTO 201810 MEN_342_1.jpg,119,127,98,110,0
14 FOTO 201810 MEN_342_1.jpg,126,134,98,111,0
14 FOTO 201810 MEN_342_1.jpg,135,144,99,112,0
14 FOTO 201810 MEN_342_1.jpg,144,153,97,113,0
14 FOTO 201810 MEN_342_1.jpg,152,160,99,112,0
14 FOTO 201810 MEN_342_1.jpg,161,170,99,113,0
14 FOTO 201810 MEN_342_1.jpg,5,296,5,296,9
20180205_072705_2.jpg,93,192,35,52,8
20180205_072705_2.jpg,76,235,77,118,7
20180205_072705_2.jpg,94,107,37,52,0
20180205_072705_2.jpg,107,119,37,50,0
20180205_072705_2.jpg,120,130,36,52,0
20180205_072705_2.jpg,131,142,35,50,0
20180205_072705_2.jpg,142,154,35,50,0
